Resolution (Pixels),Min Time (s),Max Time (s),Average Time (s),Median Time (s)
10000,0.000276,0.003453,0.0012046,0.000786
20000,0.000169,0.003983,0.0012033999999999999,0.0005819999999999999
40000,0.000387,0.010574,0.0028569,0.0013855
80000,0.000487,0.009005,0.0024042,0.0006965000000000001
160000,0.001393,0.046723,0.010938600000000001,0.0019765
320000,0.00206,0.04894,0.012722699999999998,0.0032585
640000,0.004044,0.241631,0.0556509,0.007286000000000001
