Total Shapes (M),Min Time (s),Max Time (s),Average Time (s),Median Time (s)
4,0.000198,0.004058,0.0015485,0.001199
8,0.000169,0.004676,0.0014299285714285714,0.0005425
16,0.000323,0.008316,0.0021232857142857143,0.00086
32,0.000841,0.032122,0.006756785714285714,0.0021355000000000002
64,0.003145,0.241631,0.050271,0.0097895
